iter	Logloss
0	0.5910830482
1	0.5041203466
2	0.4474059918
3	0.4021934236
4	0.3684087843
5	0.3219588767
6	0.2887648978
7	0.2623804807
8	0.2443256776
9	0.2274007727
10	0.2158015436
11	0.2022296837
12	0.1931731312
13	0.1821071493
14	0.1746576131
15	0.1674765016
16	0.1611022616
17	0.1560003339
18	0.1489327978
19	0.1438629066
20	0.1388775208
21	0.1357795992
22	0.1318082445
23	0.1280587515
24	0.1257521855
25	0.123079453
26	0.1205245353
27	0.1182739094
28	0.1161450037
29	0.1147277164
30	0.1125165079
31	0.1102233117
32	0.1084956686
33	0.1065405904
34	0.1048104355
35	0.1038350187
36	0.103305225
37	0.1025825976
38	0.100997901
39	0.0994979997
40	0.09817237551
41	0.09642835303
42	0.09572306013
43	0.09433215756
44	0.09347087787
45	0.09299816157
46	0.09270737734
47	0.09124970342
48	0.08937471914
49	0.08850519701
50	0.08711483826
51	0.08669893998
52	0.08647103314
53	0.08606395055
54	0.08545345946
55	0.08511363858
56	0.08409869535
57	0.0837590575
58	0.08348453387
59	0.08250480016
60	0.08160104996
61	0.08126196526
62	0.08097752377
63	0.08068065934
64	0.07912888519
65	0.07890550735
66	0.07860820829
67	0.07830563887
68	0.07803180332
69	0.0777288589
70	0.07745430728
71	0.07711471038
72	0.07607367647
73	0.07476241082
74	0.0744520306
75	0.07358525245
76	0.07330275366
77	0.07304121679
78	0.07278845314
79	0.07250693115
80	0.07210469005
81	0.0718176614
82	0.07159637019
83	0.07133864396
84	0.07009664365
85	0.06980613019
86	0.06956974285
87	0.0682447457
88	0.067997687
89	0.06769676974
90	0.06744656163
91	0.06724146581
92	0.06695453517
93	0.06641420675
94	0.06620918766
95	0.06600052608
96	0.06579483762
97	0.06552551252
98	0.06432801099
99	0.06335267987
