iter	Passed	Remaining
0	181	17952
1	196	9625
2	211	6849
3	226	5424
4	240	4562
5	255	4000
6	270	3589
7	284	3271
8	296	2994
9	311	2803
10	325	2635
11	340	2498
12	355	2381
13	370	2275
14	385	2184
15	401	2107
16	415	2029
17	429	1958
18	444	1893
19	459	1836
20	476	1792
21	490	1740
22	506	1696
23	521	1651
24	536	1609
25	553	1575
26	568	1537
27	584	1502
28	599	1468
29	615	1436
30	631	1404
31	646	1373
32	661	1343
33	678	1316
34	694	1289
35	709	1261
36	724	1234
37	740	1208
38	761	1190
39	783	1174
40	798	1149
41	812	1122
42	827	1097
43	842	1071
44	857	1047
45	874	1026
46	889	1002
47	905	981
48	921	959
49	938	938
50	957	919
51	972	897
52	988	876
53	1003	854
54	1017	832
55	1032	811
56	1048	791
57	1064	771
58	1080	751
59	1095	730
60	1111	710
61	1126	690
62	1140	669
63	1155	649
64	1170	630
65	1185	610
66	1201	591
67	1215	572
68	1231	553
69	1246	534
70	1262	515
71	1277	496
72	1294	478
73	1310	460
74	1326	442
75	1341	423
76	1357	405
77	1374	387
78	1389	369
79	1405	351
80	1421	333
81	1436	315
82	1454	297
83	1471	280
84	1489	262
85	1503	244
86	1518	226
87	1533	209
88	1548	191
89	1563	173
90	1578	156
91	1593	138
92	1610	121
93	1627	103
94	1644	86
95	1658	69
96	1673	51
97	1687	34
98	1702	17
99	1721	0
