iter	Passed	Remaining
0	169	16816
1	187	9172
2	205	6650
3	222	5349
4	240	4574
5	258	4052
6	274	3643
7	289	3326
8	302	3054
9	359	3234
10	414	3354
11	469	3441
12	543	3638
13	592	3640
14	642	3639
15	694	3648
16	749	3661
17	809	3686
18	859	3662
19	913	3654
20	991	3729
21	1048	3718
22	1106	3704
23	1160	3674
24	1214	3642
25	1259	3585
26	1298	3510
27	1335	3435
28	1388	3398
29	1442	3365
30	1497	3333
31	1554	3303
32	1609	3268
33	1665	3233
34	1720	3194
35	1776	3158
36	1829	3114
37	1883	3072
38	1938	3032
39	1991	2987
40	2047	2947
41	2102	2902
42	2157	2860
43	2212	2815
44	2266	2770
45	2320	2723
46	2371	2674
47	2414	2615
48	2459	2560
49	2508	2508
50	2581	2480
51	2638	2435
52	2689	2385
53	2727	2323
54	2778	2273
55	2826	2220
56	2875	2169
57	2930	2121
58	2979	2070
59	3044	2029
60	3095	1979
61	3172	1944
62	3225	1894
63	3273	1841
64	3336	1796
65	3400	1751
66	3456	1702
67	3519	1656
68	3580	1608
69	3642	1561
70	3703	1512
71	3762	1463
72	3821	1413
73	3881	1363
74	3940	1313
75	4000	1263
76	4053	1210
77	4111	1159
78	4165	1107
79	4224	1056
80	4280	1003
81	4336	951
82	4405	902
83	4474	852
84	4547	802
85	4619	751
86	4672	698
87	4730	645
88	4776	590
89	4817	535
90	4862	480
91	4915	427
92	4971	374
93	5058	322
94	5113	269
95	5171	215
96	5228	161
97	5280	107
98	5335	53
99	5391	0
